id,type,question,answer,reference,docs,faithfulness,answer_relevancy,context_precision,context_recall
G11,B,2027년 디지털서비스 개방 API 개발 지원사업의 예산은 얼마인가,문서에 없음,문서에 없음,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,1.0,0.0,0.0,0.0
G12,B,이전 연도 사업 수행사가 받은 평가 점수는 몇 점인가,문서에 없음,문서에 없음,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0
G13,B,MCP Tool 전환에 사용해야 하는 프레임워크는 무엇으로 지정되어 있는가,문서에 없음,문서에 없음(지정하지 않음),03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.999999999975,1.0
G14,B,개방 대상 25종 서비스 중 이용률 1위 서비스는 무엇인가,문서에 없음,문서에 없음,04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf,1.0,0.0,0.0,0.0
G15,B,2024년 3차 사업의 실제 계약금액은 얼마인가,문서에 없음,문서에 없음(예산만 있음),09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,1.0
G16,B,사업 종료 후 하자보수 인력은 몇 명을 배치해야 하는가,문서에 없음,문서에 없음,02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0
G17,B,기술평가위원회 평가위원은 몇 명으로 구성되는가,문서에 없음,문서에 없음(인원 수 미기재),09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,1.0,0.0,0.0,0.0
G18,B,2022년 플랫폼 구축 사업의 실제 준공일은 언제인가,문서에 없음,문서에 없음,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf,1.0,0.0,0.9999999999,1.0
G19,C,2023년 API 개발 지원사업 대비 2026년 사업의 예산은 약 몇 배인가,문서에 없음,"약 2.27배(1,298,311,371원 → 2,948,322,227원)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf,0.0,0.0,0.49999999995,0.0
G20,C,"2024년 1차, 2차, 3차 사업의 개방 대상 서비스 종수 합계는",문서에 없음,26종(9종+7종+10종),02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.0,0.0
G21,C,2025년 1차와 2차 사업의 예산 차이는 얼마인가,문서에 없음,"약 1,198,185,080원(2차 2,998,170,494원 - 1차 1,799,985,414원)",09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|06. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(1차).pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0
G22,C,2023년 API 개발 지원사업에는 없고 2026년 사업에만 있는 요구사항은,문서에 없음,"AI 국민비서 연계용 MCP Tool 전환, 동해·독도 표기 오류 재발 방지(COR-13)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf|04. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(3차).pdf,0.0,0.0,0.0,0.0
G23,C,2023년부터 2026년까지 API 개발 지원사업 중 사업기간이 150일이 아닌 사업은,문서에 없음,2024년 3차(145일),07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,0.0,0.0,0.0,0.0
G24,C,2023년부터 2026년까지 API 개발 지원사업의 개방 대상 서비스 종수 추이는,문서에 없음,2023년 10종 → 2024년 26종(3차 합계) → 2025년 27종(2차 합계) → 2026년 25종,07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.999999999975,1.0
G25,C,제안서 평가의 기술능력과 입찰가격 비중이 연도별로 바뀐 적이 있는가,문서에 없음,없음. 모든 연도 90%:10%,09. 제안요청서_2022년 디지털정부서비스 개방 플랫폼 구축.pdf|08. 제안요청서_2023년 디지털서비스플랫폼 고도화 사업.pdf|07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|03. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(1차)_(수정).pdf,0.0,0.0,0.99999999995,0.0
G26,C,"2023년 두 사업(API 개발 지원, 플랫폼 고도화) 중 예산이 큰 쪽은",문서에 없음,"플랫폼 고도화(1,349,855,316원 > 1,298,311,371원)",07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|05. 제안요청서_2024년 디지털서비스 개방 API 개발 지원사업(2차)_최종.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf,0.0,0.0,0.49999999995,1.0
G27,C,2022년 플랫폼 구축 사업과 2026년 API 개발 지원사업 중 요구사항 개수가 많은 쪽은,문서에 없음,2022년 플랫폼 구축(114건 > 60건),07. 제안요청서_2023년 디지털서비스 개방 API 개발 지원사업.pdf|02. 제안요청서_2025년 디지털서비스 개방 API 개발 지원사업(2차) _수정.pdf|01. 제안요청서_2026년 디지털서비스 개방 API 개발 지원사업.pdf,0.0,0.0,0.0,0.0
